a.d. /'ei'di:/	sau công nguyên
aba /'ɑ:bə/	áo aba
aback /ə'bæk/	lùi lại
abacus /'æbəkəs/	bàn tính
abaddon /ə'bædən/	âm ti, địa ngục
abalone /,æbə'louni/	bào ngư
abandon /ə'bændən/	từ bỏ; bỏ rơi, ruồng bỏ
abandoned /ə'bændənd/	bị bỏ rơi, bị ruồng bỏ
abandonment /ə'bændənmənt/	sự ruồng bỏ
abase /ə'beis/	làm mất thể diện
abash /ə'bæʃ/	sự luống cuống
break /breik/	sự ngắt
break-up /'breik'ʌp/	sự tan rã
breakable /'breikəbl/	dễ vỡ, dễ gãy
breakdown /'breikdaun/	sự suy sụp
breakfast /'brekfəst/	bữa ăn sáng
breakwater /'breik,wɔ:tə/	đê chắn sóng
bream /bri:m/	cá tráp
breast /brest/	ngực
breast-pin /'brestpin/	kim gài ca vát
breast-pocket /'brest,pɔkit/	túi ngực
breast-stroke /'breststrouk/	kiểu bơi ếch
breastbone /'brestboun/	xương ức
breastplate /'brestpleit/	giáp che ngực
brillance /'briljəns/	sự rực rỡ
brilliant /'briljənt/	tài giỏi
cantaloup /'kæntəlu:p/	dưa đỏ
canteen /kæn'ti:n/	căng tin
canvas /'kænvəs/	vải bạt
canyon /'kænjən/	hẽm núi
cap /kæp/	mũ lưỡi trai
capable /'keipəbl/	có tài
capital /'kæpitl/	thủ đô
capitalism /'kæpitəlizm/	chủ nghĩa tư bản
